"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"ETH","ET",1948.0,"",3130.0,"school in adwa","",39.1,7.95,4,"","",2005.0,7.0,17.0,50.0,1,50.0,7,50.0,0,2,31356,0.02,0.14,0.0,0.1483018867924528,24190.142011154327,244,244,244,201
"ETH","ET",1948.0,"",3193.0,"school in adwa","",37.1667,11.4167,4,"","",2005.0,7.0,17.0,49.0,7,49.0,13,49.0,3,2,31390,0.1428571428571428,0.2653061224489796,0.0612244897959183,0.3856771268934439,14598.636931780413,245,245,245,202
"ETH","ET",1943.0,3193.0,18633.0,"school in adwa",52449.0,38.8937176,14.1636465,1,"","",2005.0,"","",49.0,7,49.0,13,49.0,3,2,5047,0.1428571428571428,0.2653061224489796,0.0612244897959183,0.3856771268934439,782.5015357447089,246,246,246,203
"ETH","ET",1951.0,"",3179.0,"school in aksum","",39.557499,12.4183,4,"","",2005.0,7.0,17.0,50.0,0,50.0,17,50.0,0,2,31428,0.0,0.34,0.0,0.320754716981132,453.09124355338287,247,247,247,204
"ETH","ET",1951.0,3179.0,19280.0,"school in aksum",52164.0,38.7626678,14.1344071,1,"","",2005.0,"","",50.0,0,50.0,17,50.0,0,2,5323,0.0,0.34,0.0,0.320754716981132,8644.300223320135,248,248,248,205
"ETH","ET",1943.0,3171.0,18602.0,"school in alamata","",38.466702,11.7333,3,"","",2005.0,7.0,17.0,49.0,1,49.0,9,49.0,2,2,31444,0.0204081632653061,0.1836734693877551,0.0408163265306122,0.2197855244822422,270.6572800612136,249,249,249,206
"ETH","ET",1943.0,3178.0,18628.0,"school in alamata",52421.0,39.5536782,12.41967,1,"","",2005.0,"","",49.0,1,49.0,9,49.0,2,2,5040,0.0204081632653061,0.1836734693877551,0.0408163265306122,0.2197855244822422,453.09124355338287,250,250,250,207
"ETH","ET",1942.0,"",26089.0,"school in amanuel","",41.0853,11.7361,4,"","",2005.0,7.0,17.0,49.0,1,49.0,6,49.0,0,2,31462,0.0204081632653061,0.1224489795918367,0.0,0.1324133812169457,0.0,251,251,384,208
"ETH","ET",1950.0,"",3184.0,"school in arero","",38.4667,7.05,4,"","",2005.0,7.0,17.0,49.0,1,49.0,28,49.0,15,2,31378,0.0204081632653061,0.5714285714285714,0.3061224489795918,0.668578119404426,0.0,252,252,378,209
"ETH","ET",1950.0,3184.0,19198.0,"school in arero",52371.0,38.466702,7.0500002,3,"","",2005.0,"","",49.0,1,49.0,28,49.0,15,2,5285,0.0204081632653061,0.5714285714285714,0.3061224489795918,0.668578119404426,0.0,253,253,379,210
