iso2,iso3,admin0_id,admin1,admin1_id,admin2,admin2_id,iu_name,iu_id,iu_code
NG,NGA,34,Zamfara,3811.0,Talata Mafara,37108.0,Talata Mafara,37108.0,NGA0381137108
NG,NGA,34,Borno,3782.0,Chibok,36483.0,Chibok,36483.0,NGA0378236483
NG,NGA,34,Zamfara,3811.0,Maradun,37105.0,Maradun,37105.0,NGA0381137105
NG,NGA,34,Zamfara,3811.0,Maru,37106.0,Maru,37106.0,NGA0381137106
NG,NGA,34,Anambra,3778.0,Awka south,36411.0,Awka south,36411.0,NGA0377836411
NG,NGA,34,Zamfara,3811.0,Shinkafi,37107.0,Shinkafi,37107.0,NGA0381137107
NG,NGA,34,Borno,3782.0,Mafa,36496.0,Mafa,36496.0,NGA0378236496
NG,NGA,34,Borno,3782.0,Magumeri,36497.0,Magumeri,36497.0,NGA0378236497
NG,NGA,34,Katsina,3795.0,Daura,36759.0,Daura,36759.0,NGA0379536759
NG,NGA,34,Borno,3782.0,Bayo,36481.0,Bayo,36481.0,NGA0378236481
NG,NGA,34,Borno,3782.0,Biu,36482.0,Biu,36482.0,NGA0378236482
