"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ETH","ET",1948.0,3144.0,18939.0,52416.0,38.902699,8.5766201,3,"","",2009.0,"","",106.0,0,106.0,3,106.0,0,1,5189,0.0,0.02830188679245283,0.0,0.026699893200427195
"ETH","ET",1950.0,"",3148.0,"",37.549999,6.266667,4,"","",2010.0,1.0,99.0,123.0,1,123.0,27,123.0,21,1,28813,0.008130081300813009,0.21951219512195122,0.17073170731707318,0.3377625225636607
"ETH","ET",1948.0,3132.0,18869.0,52318.0,40.648998,7.16571,3,"","",2009.0,"","",98.0,1,98.0,0,98.0,0,1,5159,0.01020408163265306,0.0,0.0,0.00962649210627647
"ETH","ET",1948.0,"",3143.0,"",42.116,9.485,4,"","",1986.0,5.0,19.0,112.0,2,112.0,3,112.0,1,3,29158,0.017857142857142856,0.026785714285714284,0.008928571428571428,0.049715835837367287
"ETH","ET",703.0,"",3158.0,"",42.598999,9.25,4,"","",1986.0,5.0,19.0,37.0,0,37.0,1,37.0,0,3,29285,0.0,0.02702702702702703,0.0,0.025497195308516064
"ETH","ET",703.0,"",3158.0,"",42.598999,9.25,4,"","",1986.0,5.0,19.0,100.0,0,100.0,5,100.0,2,3,29272,0.0,0.05,0.02,0.06509433962264151
"ETH","ET",1948.0,16644.0,18739.0,52139.0,37.3666964,9.5682312,1,"","",2009.0,"","",108.0,0,108.0,1,108.0,0,1,5097,0.0,0.009259259259259259,0.0,0.008735150244584206
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,104.0,22,104.0,15,104.0,6,3,30090,0.21153846153846154,0.14423076923076922,0.057692307692307696,0.3435719323520065
"ETH","ET",1948.0,16644.0,18920.0,52384.0,37.4255083,9.7863101,1,"","",1995.0,"","",104.0,22,104.0,15,104.0,6,3,5176,0.21153846153846154,0.14423076923076922,0.057692307692307696,0.3435719323520065
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,204.0,35,204.0,53,204.0,8,3,30094,0.1715686274509804,0.25980392156862747,0.0392156862745098,0.38759006645754934
"ETH","ET",1948.0,16644.0,18920.0,52385.0,37.4255083,9.7863101,1,"","",1995.0,"","",204.0,35,204.0,53,204.0,8,3,5178,0.1715686274509804,0.25980392156862747,0.0392156862745098,0.38759006645754934
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,145.0,26,145.0,44,145.0,20,3,30091,0.1793103448275862,0.30344827586206896,0.13793103448275862,0.4784866669709589
"ETH","ET",1948.0,16644.0,18920.0,52386.0,37.4255083,9.7863101,1,"","",1995.0,"","",145.0,26,145.0,44,145.0,20,3,5175,0.1793103448275862,0.30344827586206896,0.13793103448275862,0.4784866669709589
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,44.0,1,44.0,15,44.0,1,3,30092,0.022727272727272728,0.3409090909090909,0.022727272727272728,0.34955408403385163
"ETH","ET",1948.0,16644.0,18920.0,52387.0,37.4255083,9.7863101,1,"","",1995.0,"","",44.0,1,44.0,15,44.0,1,3,5177,0.022727272727272728,0.3409090909090909,0.022727272727272728,0.34955408403385163
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,432.0,143,432.0,117,432.0,9,3,30089,0.33101851851851855,0.2708333333333333,0.020833333333333332,0.49279573791394893
"ETH","ET",1948.0,16644.0,18920.0,52388.0,37.4255083,9.7863101,1,"","",1995.0,"","",432.0,143,432.0,117,432.0,9,3,5180,0.33101851851851855,0.2708333333333333,0.020833333333333332,0.49279573791394893
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,187.0,24,187.0,43,187.0,6,3,30088,0.12834224598930483,0.22994652406417113,0.03208556149732621,0.3304844209578953
"ETH","ET",1948.0,16644.0,18920.0,52389.0,37.4255083,9.7863101,1,"","",1995.0,"","",187.0,24,187.0,43,187.0,6,3,5179,0.12834224598930483,0.22994652406417113,0.03208556149732621,0.3304844209578953
"ETH","ET","","",16644.0,"",37.1,9.352,4,"","",1995.0,0.0,99.0,200.0,8,200.0,80,200.0,4,3,30093,0.04,0.4,0.02,0.41086792452830184
