"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"NER","NE",3673.0,35325.0,35325.0,"",3.9593505,13.4908795,4,"","mapping",2005.0,11.0,14.0,60,0,60,0,60,0,2,27466,0.0,0.0,0.0,0.0,0.0,71,71,72
"NER","NE",3673.0,35325.0,35325.0,13743.0,3.9593505,13.4908795,4,"","",2006.0,"","",60,0,60,0,60,0,1,10219,0.0,0.0,0.0,0.0,0.0,72,72,71
"NER","NE",3674.0,35331.0,35331.0,55626.0,10.099,13.421,3,"","",2004.0,"","",60,0,60,0,60,1,2,10249,0.0,0.0,0.0166666666666666,0.0157232704402515,2554.4333151632727,73,73,73
"NER","NE",3673.0,35325.0,35325.0,55611.0,3.885,14.928,3,"","",2004.0,"","",22,3,22,0,22,0,2,10208,0.1363636363636363,0.0,0.0,0.1286449399656946,4195.760411559962,74,74,74
"NER","NE",3668.0,35299.0,35299.0,"",11.3499,13.8116,3,"","mapping",2005.0,5.0,13.0,22,3,22,0,22,0,2,27329,0.1363636363636363,0.0,0.0,0.1286449399656946,0.0,75,75,76
"NER","NE",3668.0,35299.0,35299.0,13776.0,11.3499,13.8116,3,"","",2006.0,"","",22,0,22,1,22,0,1,10105,0.0,0.0454545454545454,0.0,0.0428816466552315,0.0,76,76,75
"NER","NE",3673.0,35327.0,35327.0,55681.0,2.664,14.909,3,"","",2004.0,"","",60,0,60,0,60,0,2,10231,0.0,0.0,0.0,0.0,26567.562661611402,77,77,77
"NER","NE",3674.0,35332.0,35332.0,55651.0,8.7370005,12.916,3,"","",2004.0,"","",38,0,38,0,38,0,2,10254,0.0,0.0,0.0,0.0,25208.088475876786,78,78,78
"NER","NE",3673.0,35327.0,35327.0,"",2.21763,14.32766,3,"","mapping",2005.0,8.0,15.0,60,0,60,0,60,0,2,27492,0.0,0.0,0.0,0.0,0.0,79,79,80
"NER","NE",3673.0,35327.0,35327.0,13792.0,2.21763,14.32766,3,"","",2006.0,"","",60,0,60,0,60,0,1,10234,0.0,0.0,0.0,0.0,0.0,80,80,79
"NER","NE",3669.0,35304.0,35304.0,55619.0,3.5896001,11.8786,3,"","",2004.0,"","",60,0,60,0,60,0,2,10134,0.0,0.0,0.0,0.0,6.722805196943187,81,81,81
"NER","NE",3673.0,35325.0,35325.0,"",3.6542,14.4879,3,"","mapping",2005.0,10.0,13.0,38,0,38,0,38,0,2,27467,0.0,0.0,0.0,0.0,0.0,82,82,83
"NER","NE",3673.0,35325.0,35325.0,13744.0,3.6542,14.4879,3,"","",2006.0,"","",40,0,40,0,40,0,1,10220,0.0,0.0,0.0,0.0,0.0,83,83,82
"NER","NE",3669.0,35304.0,35304.0,"",3.5433199,12.6183241,1,"","mapping",2012.0,7.0,15.0,50,0,50,0,50,0,1,27371,0.0,0.0,0.0,0.0,15488.514748761121,84,84,84
"NER","NE",3672.0,35324.0,35324.0,55688.0,4.8369999,14.715,3,"","",2004.0,"","",60,0,60,0,60,0,2,10198,0.0,0.0,0.0,0.0,185.39390967124888,85,85,85
"NER","NE",3670.0,35312.0,35312.0,"",8.23963,13.29903,3,"","mapping",2005.0,10.0,16.0,60,0,60,0,60,0,2,27434,0.0,0.0,0.0,0.0,0.0,86,86,87
"NER","NE",3670.0,35312.0,35312.0,13823.0,8.23963,13.29903,3,"","",2006.0,"","",60,0,60,0,60,0,1,10173,0.0,0.0,0.0,0.0,0.0,87,87,86
"NER","NE",3673.0,35326.0,35326.0,55637.0,1.9611,13.5833,3,"","",2004.0,"","",60,0,60,0,60,0,2,10226,0.0,0.0,0.0,0.0,168.27736129513156,88,88,88
"NER","NE",3669.0,35303.0,35303.0,13737.0,4.5666667,13.7666667,3,"","",2006.0,"","",60,0,60,0,60,0,1,10122,0.0,0.0,0.0,0.0,372.78757755796323,89,89,89
"NER","NE",3674.0,35335.0,35335.0,55694.0,8.8129997,14.711,3,"","",2004.0,"","",60,0,60,0,60,0,2,10281,0.0,0.0,0.0,0.0,583.033352442404,90,90,90
"NER","NE",3673.0,35328.0,35328.0,"",2.3217600000000003,13.28957,3,"","sentinel site",2013.0,8.0,10.0,0,0,91,0,91,0,1,27502,"",0.0,0.0,"",0.0,91,91,92
"NER","NE",3673.0,35328.0,35328.0,"",2.3217600000000003,13.28957,3,"","sentinel site",2011.0,7.0,8.0,100,0,100,0,100,0,1,27501,0.0,0.0,0.0,0.0,0.0,92,92,91
"NER","NE",3672.0,35317.0,35317.0,55583.0,5.6290002,14.122,3,"","",2004.0,"","",60,1,60,0,60,1,2,10179,0.0166666666666666,0.0,0.0166666666666666,0.0311844863731656,1006.287400190098,93,93,93
"NER","NE",3672.0,35324.0,35324.0,"",4.83642,14.71349,3,"","mapping",2005.0,7.0,15.0,60,0,60,0,60,0,2,27463,0.0,0.0,0.0,0.0,0.0,94,94,95
"NER","NE",3672.0,35324.0,35324.0,13799.0,4.83642,14.71349,3,"","",2006.0,"","",60,0,60,0,60,0,1,10196,0.0,0.0,0.0,0.0,0.0,95,95,94
"NER","NE",3674.0,35333.0,35333.0,55666.0,8.6230001,13.209,3,"","",2004.0,"","",60,1,60,0,60,0,2,10262,0.0166666666666666,0.0,0.0,0.0157232704402515,23130.39700689258,96,96,96
"NER","NE",3667.0,35295.0,35295.0,13726.0,8.275,17.7345,3,"","",2006.0,"","",60,0,60,0,60,0,1,10074,0.0,0.0,0.0,0.0,367.3697311953599,97,97,97
"NER","NE",3670.0,35311.0,35311.0,13784.0,7.6710889,13.9501075,1,"","",2006.0,"","",50,0,50,0,50,0,1,10167,0.0,0.0,0.0,0.0,0.0,98,98,100
"NER","NE",3673.0,35327.0,35327.0,55682.0,1.9960001,15.132,3,"","",2004.0,"","",60,0,60,0,60,0,2,10229,0.0,0.0,0.0,0.0,7700.480764013582,99,99,99
